"Nodes","Mean CV Error"
5,0.26058636539407
10,0.229243995067745
15,0.32606169068194
20,0.526850322610338
25,0.594699846939683
30,0.701874491764595
35,1.66939051590888
40,2.51597402433348
45,0.831991671856379
50,1.57459961158634
